order_city,date,precipitation_mm,temp_mean_c,weather_code,weather_condition
Santo Domingo,2015-01-01,0.0,24.4,1,Clear
Santo Domingo,2015-01-02,0.6,24.8,51,Rain
Santo Domingo,2015-01-03,1.2,24.4,51,Rain
Santo Domingo,2015-01-04,0.0,24.8,2,Cloudy
Santo Domingo,2015-01-05,0.0,24.7,2,Cloudy
Santo Domingo,2015-01-06,1.9,23.8,51,Rain
Santo Domingo,2015-01-07,0.2,23.9,51,Rain
Santo Domingo,2015-01-08,0.1,23.8,51,Rain
Santo Domingo,2015-01-09,1.3,23.7,51,Rain
Santo Domingo,2015-01-10,0.1,24.0,51,Rain
Santo Domingo,2015-01-11,1.5,24.2,51,Rain
Santo Domingo,2015-01-12,2.3,24.1,53,Rain
Santo Domingo,2015-01-13,0.6,24.4,51,Rain
Santo Domingo,2015-01-14,1.9,23.7,51,Rain
Santo Domingo,2015-01-15,1.0,24.2,51,Rain
Santo Domingo,2015-01-16,1.9,24.5,53,Rain
Santo Domingo,2015-01-17,0.0,24.5,3,Cloudy
Santo Domingo,2015-01-18,0.4,24.7,51,Rain
Santo Domingo,2015-01-19,0.0,24.5,3,Cloudy
Santo Domingo,2015-01-20,0.3,24.0,51,Rain
Santo Domingo,2015-01-21,0.0,24.1,3,Cloudy
Santo Domingo,2015-01-22,0.0,24.3,3,Cloudy
Santo Domingo,2015-01-23,0.0,24.5,2,Cloudy
Santo Domingo,2015-01-24,0.0,24.2,1,Clear
Santo Domingo,2015-01-25,0.4,24.6,51,Rain
Santo Domingo,2015-01-26,0.9,23.9,51,Rain
Santo Domingo,2015-01-27,2.2,24.3,51,Rain
Santo Domingo,2015-01-28,4.5,23.7,55,Rain
Santo Domingo,2015-01-29,0.1,23.0,51,Rain
Santo Domingo,2015-01-30,1.7,23.0,53,Rain
Santo Domingo,2015-01-31,3.6,23.0,55,Rain
Santo Domingo,2015-02-01,3.2,22.8,53,Rain
Santo Domingo,2015-02-02,0.0,23.9,2,Cloudy
Santo Domingo,2015-02-03,0.4,24.2,51,Rain
Santo Domingo,2015-02-04,1.0,24.4,51,Rain
Santo Domingo,2015-02-05,0.5,24.1,51,Rain
Santo Domingo,2015-02-06,0.6,24.3,51,Rain
Santo Domingo,2015-02-07,2.9,23.6,53,Rain
Santo Domingo,2015-02-08,0.6,23.5,51,Rain
Santo Domingo,2015-02-09,0.8,23.7,53,Rain
Santo Domingo,2015-02-10,0.1,24.6,51,Rain
Santo Domingo,2015-02-11,0.0,25.3,3,Cloudy
Santo Domingo,2015-02-12,0.3,24.2,51,Rain
Santo Domingo,2015-02-13,2.2,24.2,53,Rain
Santo Domingo,2015-02-14,1.5,24.4,53,Rain
Santo Domingo,2015-02-15,0.0,24.5,3,Cloudy
Santo Domingo,2015-02-16,0.0,23.9,3,Cloudy
Santo Domingo,2015-02-17,0.4,23.9,51,Rain
Santo Domingo,2015-02-18,0.0,24.0,2,Cloudy
Santo Domingo,2015-02-19,0.1,24.7,51,Rain
Santo Domingo,2015-02-20,13.1,23.7,63,Rain
Santo Domingo,2015-02-21,8.4,23.1,63,Rain
Santo Domingo,2015-02-22,1.9,24.1,51,Rain
Santo Domingo,2015-02-23,0.0,24.6,3,Cloudy
Santo Domingo,2015-02-24,0.6,24.2,51,Rain
Santo Domingo,2015-02-25,1.2,23.9,51,Rain
Santo Domingo,2015-02-26,1.8,23.8,53,Rain
Santo Domingo,2015-02-27,1.8,24.5,51,Rain
Santo Domingo,2015-02-28,5.0,24.4,53,Rain
Santo Domingo,2015-03-01,2.2,24.7,51,Rain
Santo Domingo,2015-03-02,1.1,23.7,51,Rain
Santo Domingo,2015-03-03,1.7,23.6,51,Rain
Santo Domingo,2015-03-04,1.6,23.9,53,Rain
Santo Domingo,2015-03-05,0.5,24.2,51,Rain
Santo Domingo,2015-03-06,0.7,24.4,51,Rain
Santo Domingo,2015-03-07,2.4,24.0,53,Rain
Santo Domingo,2015-03-08,1.0,24.0,51,Rain
Santo Domingo,2015-03-09,0.1,24.6,51,Rain
Santo Domingo,2015-03-10,3.1,24.9,53,Rain
Santo Domingo,2015-03-11,1.8,24.8,51,Rain
Santo Domingo,2015-03-12,3.2,24.3,53,Rain
Santo Domingo,2015-03-13,0.0,24.5,3,Cloudy
Santo Domingo,2015-03-14,4.4,24.0,53,Rain
Santo Domingo,2015-03-15,0.0,24.4,3,Cloudy
Santo Domingo,2015-03-16,0.2,24.3,51,Rain
Santo Domingo,2015-03-17,0.3,24.0,51,Rain
Santo Domingo,2015-03-18,0.0,24.3,2,Cloudy
Santo Domingo,2015-03-19,0.5,24.9,51,Rain
Santo Domingo,2015-03-20,1.0,24.4,51,Rain
Santo Domingo,2015-03-21,0.6,24.6,51,Rain
Santo Domingo,2015-03-22,0.2,25.2,51,Rain
Santo Domingo,2015-03-23,0.2,24.8,51,Rain
Santo Domingo,2015-03-24,0.3,25.1,51,Rain
Santo Domingo,2015-03-25,0.7,25.1,53,Rain
Santo Domingo,2015-03-26,0.8,25.1,51,Rain
Santo Domingo,2015-03-27,1.3,24.8,51,Rain
Santo Domingo,2015-03-28,0.4,25.4,51,Rain
Santo Domingo,2015-03-29,0.0,25.1,3,Cloudy
Santo Domingo,2015-03-30,1.3,24.9,51,Rain
Santo Domingo,2015-03-31,2.1,24.2,51,Rain
Santo Domingo,2015-04-01,0.2,24.3,51,Rain
Santo Domingo,2015-04-02,4.1,24.6,61,Rain
Santo Domingo,2015-04-03,2.1,24.3,51,Rain
Santo Domingo,2015-04-04,0.7,24.4,53,Rain
Santo Domingo,2015-04-05,0.0,24.8,2,Cloudy
Santo Domingo,2015-04-06,2.1,24.3,53,Rain
Santo Domingo,2015-04-07,2.1,24.6,53,Rain
Santo Domingo,2015-04-08,2.3,24.7,53,Rain
Santo Domingo,2015-04-09,0.0,25.1,3,Cloudy
Santo Domingo,2015-04-10,3.5,24.9,53,Rain
Santo Domingo,2015-04-11,0.5,25.5,51,Rain
Santo Domingo,2015-04-12,1.4,25.3,51,Rain
Santo Domingo,2015-04-13,0.6,25.4,51,Rain
Santo Domingo,2015-04-14,0.7,25.5,51,Rain
Santo Domingo,2015-04-15,0.2,25.3,51,Rain
Santo Domingo,2015-04-16,0.0,25.7,1,Clear
Santo Domingo,2015-04-17,0.5,25.5,51,Rain
Santo Domingo,2015-04-18,0.5,25.3,51,Rain
Santo Domingo,2015-04-19,0.7,25.6,51,Rain
Santo Domingo,2015-04-20,0.4,26.0,51,Rain
Santo Domingo,2015-04-21,1.1,26.0,51,Rain
Santo Domingo,2015-04-22,0.4,25.4,51,Rain
Santo Domingo,2015-04-23,0.5,25.6,51,Rain
Santo Domingo,2015-04-24,0.4,25.9,51,Rain
Santo Domingo,2015-04-25,0.0,26.0,3,Cloudy
Santo Domingo,2015-04-26,0.0,26.6,3,Cloudy
Santo Domingo,2015-04-27,0.0,27.0,2,Cloudy
Santo Domingo,2015-04-28,0.0,26.9,1,Clear
Santo Domingo,2015-04-29,0.0,26.9,3,Cloudy
Santo Domingo,2015-04-30,0.0,26.7,3,Cloudy
Santo Domingo,2015-05-01,0.0,26.2,3,Cloudy
Santo Domingo,2015-05-02,0.0,26.3,3,Cloudy
Santo Domingo,2015-05-03,0.2,26.4,51,Rain
Santo Domingo,2015-05-04,1.7,25.8,53,Rain
Santo Domingo,2015-05-05,0.0,26.2,3,Cloudy
Santo Domingo,2015-05-06,1.7,25.9,51,Rain
Santo Domingo,2015-05-07,0.3,26.2,51,Rain
Santo Domingo,2015-05-08,0.3,26.3,51,Rain
Santo Domingo,2015-05-09,0.0,25.9,3,Cloudy
Santo Domingo,2015-05-10,2.4,26.1,53,Rain
Santo Domingo,2015-05-11,1.4,25.9,51,Rain
Santo Domingo,2015-05-12,0.2,26.4,51,Rain
Santo Domingo,2015-05-13,0.0,26.6,2,Cloudy
Santo Domingo,2015-05-14,0.1,26.6,51,Rain
Santo Domingo,2015-05-15,0.0,26.7,3,Cloudy
Santo Domingo,2015-05-16,1.3,26.0,51,Rain
Santo Domingo,2015-05-17,1.8,26.1,53,Rain
Santo Domingo,2015-05-18,1.2,26.0,51,Rain
Santo Domingo,2015-05-19,1.9,26.0,53,Rain
Santo Domingo,2015-05-20,0.6,26.8,51,Rain
Santo Domingo,2015-05-21,1.4,26.6,51,Rain
Santo Domingo,2015-05-22,0.3,26.7,51,Rain
Santo Domingo,2015-05-23,1.1,26.7,53,Rain
Santo Domingo,2015-05-24,2.2,26.6,53,Rain
Santo Domingo,2015-05-25,0.3,26.4,51,Rain
Santo Domingo,2015-05-26,0.6,26.1,51,Rain
Santo Domingo,2015-05-27,1.2,25.7,51,Rain
Santo Domingo,2015-05-28,0.5,25.9,53,Rain
Santo Domingo,2015-05-29,1.7,26.2,53,Rain
Santo Domingo,2015-05-30,1.7,25.8,53,Rain
Santo Domingo,2015-05-31,7.8,25.2,61,Rain
Santo Domingo,2015-06-01,1.4,26.0,53,Rain
Santo Domingo,2015-06-02,0.3,26.4,51,Rain
Santo Domingo,2015-06-03,0.9,26.4,51,Rain
Santo Domingo,2015-06-04,1.0,26.7,51,Rain
Santo Domingo,2015-06-05,0.0,27.3,3,Cloudy
Santo Domingo,2015-06-06,1.9,26.6,51,Rain
Santo Domingo,2015-06-07,0.8,27.1,51,Rain
Santo Domingo,2015-06-08,0.6,26.9,51,Rain
Santo Domingo,2015-06-09,0.1,27.3,51,Rain
Santo Domingo,2015-06-10,1.4,26.9,53,Rain
Santo Domingo,2015-06-11,3.2,26.3,55,Rain
Santo Domingo,2015-06-12,1.9,26.7,53,Rain
Santo Domingo,2015-06-13,1.0,27.0,51,Rain
Santo Domingo,2015-06-14,0.7,26.7,51,Rain
Santo Domingo,2015-06-15,0.0,26.9,3,Cloudy
Santo Domingo,2015-06-16,0.0,27.6,3,Cloudy
Santo Domingo,2015-06-17,4.3,27.3,63,Rain
Santo Domingo,2015-06-18,2.1,27.0,53,Rain
Santo Domingo,2015-06-19,0.6,27.4,51,Rain
Santo Domingo,2015-06-20,1.2,26.9,51,Rain
Santo Domingo,2015-06-21,1.3,26.5,51,Rain
Santo Domingo,2015-06-22,3.4,26.6,53,Rain
Santo Domingo,2015-06-23,6.7,25.6,63,Rain
Santo Domingo,2015-06-24,2.2,26.4,55,Rain
Santo Domingo,2015-06-25,0.0,26.6,2,Cloudy
Santo Domingo,2015-06-26,1.4,26.6,51,Rain
Santo Domingo,2015-06-27,4.2,26.4,61,Rain
Santo Domingo,2015-06-28,3.4,26.9,53,Rain
Santo Domingo,2015-06-29,0.3,27.4,51,Rain
Santo Domingo,2015-06-30,3.3,26.8,53,Rain
Santo Domingo,2015-07-01,1.8,26.7,55,Rain
Santo Domingo,2015-07-02,0.9,27.3,51,Rain
Santo Domingo,2015-07-03,1.0,27.5,51,Rain
Santo Domingo,2015-07-04,3.0,27.7,51,Rain
Santo Domingo,2015-07-05,0.3,28.0,51,Rain
Santo Domingo,2015-07-06,3.8,26.9,53,Rain
Santo Domingo,2015-07-07,0.4,27.1,51,Rain
Santo Domingo,2015-07-08,0.0,27.8,3,Cloudy
Santo Domingo,2015-07-09,0.5,27.4,51,Rain
Santo Domingo,2015-07-10,0.4,27.1,51,Rain
Santo Domingo,2015-07-11,0.5,26.5,51,Rain
Santo Domingo,2015-07-12,5.5,25.6,53,Rain
Santo Domingo,2015-07-13,0.3,26.3,51,Rain
Santo Domingo,2015-07-14,1.2,26.8,51,Rain
Santo Domingo,2015-07-15,1.4,26.8,51,Rain
Santo Domingo,2015-07-16,2.4,26.9,53,Rain
Santo Domingo,2015-07-17,1.9,26.7,53,Rain
Santo Domingo,2015-07-18,0.2,27.3,51,Rain
Santo Domingo,2015-07-19,1.1,26.6,51,Rain
Santo Domingo,2015-07-20,1.1,26.7,51,Rain
Santo Domingo,2015-07-21,0.5,27.3,51,Rain
Santo Domingo,2015-07-22,0.8,27.3,51,Rain
Santo Domingo,2015-07-23,0.5,27.3,51,Rain
Santo Domingo,2015-07-24,0.0,27.6,3,Cloudy
Santo Domingo,2015-07-25,0.1,27.2,51,Rain
Santo Domingo,2015-07-26,0.9,27.0,51,Rain
Santo Domingo,2015-07-27,0.7,27.5,51,Rain
Santo Domingo,2015-07-28,0.3,28.0,51,Rain
Santo Domingo,2015-07-29,0.0,28.2,2,Cloudy
Santo Domingo,2015-07-30,0.2,27.9,51,Rain
Santo Domingo,2015-07-31,0.0,27.9,3,Cloudy
Santo Domingo,2015-08-01,0.6,28.1,51,Rain
Santo Domingo,2015-08-02,0.6,27.4,51,Rain
Santo Domingo,2015-08-03,2.2,27.0,53,Rain
Santo Domingo,2015-08-04,1.3,28.1,51,Rain
Santo Domingo,2015-08-05,0.7,27.3,51,Rain
Santo Domingo,2015-08-06,0.2,27.7,51,Rain
Santo Domingo,2015-08-07,1.0,27.2,51,Rain
Santo Domingo,2015-08-08,0.7,27.7,51,Rain
Santo Domingo,2015-08-09,2.3,27.1,55,Rain
Santo Domingo,2015-08-10,0.3,27.1,51,Rain
Santo Domingo,2015-08-11,1.2,27.4,53,Rain
Santo Domingo,2015-08-12,0.2,27.8,51,Rain
Santo Domingo,2015-08-13,0.2,27.8,51,Rain
Santo Domingo,2015-08-14,0.0,27.3,2,Cloudy
Santo Domingo,2015-08-15,0.0,27.9,3,Cloudy
Santo Domingo,2015-08-16,5.1,26.5,63,Rain
Santo Domingo,2015-08-17,0.0,26.6,3,Cloudy
Santo Domingo,2015-08-18,1.0,27.1,51,Rain
Santo Domingo,2015-08-19,0.1,27.5,51,Rain
Santo Domingo,2015-08-20,0.0,28.0,1,Clear
Santo Domingo,2015-08-21,0.0,27.7,1,Clear
Santo Domingo,2015-08-22,0.4,28.1,51,Rain
Santo Domingo,2015-08-23,0.7,27.7,51,Rain
Santo Domingo,2015-08-24,0.0,27.8,1,Clear
Santo Domingo,2015-08-25,2.0,28.2,53,Rain
Santo Domingo,2015-08-26,7.1,27.6,63,Rain
Santo Domingo,2015-08-27,0.8,28.4,53,Rain
Santo Domingo,2015-08-28,79.6,25.6,65,Rain
Santo Domingo,2015-08-29,9.8,25.6,63,Rain
Santo Domingo,2015-08-30,2.3,26.3,61,Rain
Santo Domingo,2015-08-31,0.2,27.4,51,Rain
Santo Domingo,2015-09-01,2.9,27.4,53,Rain
Santo Domingo,2015-09-02,1.3,26.6,51,Rain
Santo Domingo,2015-09-03,0.3,26.7,51,Rain
Santo Domingo,2015-09-04,0.0,27.2,1,Clear
Santo Domingo,2015-09-05,0.4,27.3,51,Rain
Santo Domingo,2015-09-06,1.8,26.9,53,Rain
Santo Domingo,2015-09-07,0.7,27.2,51,Rain
Santo Domingo,2015-09-08,2.0,27.0,53,Rain
Santo Domingo,2015-09-09,0.1,27.6,51,Rain
